tela de login;Passou;;
tela de graduacao;Passou;;
Cadastro de motivos para bolsa;Passou;;
Inclusão de motivos de bolsa;Passou;;
Pesquisa do elemento criado;Passou;;
alterar cadastro de motivo bolsa;Passou;;
excluir cadastro de motivo bolsa;Passou;;
modificadores de bolsas;Passou;;
inclusao modificadores de bolsas;Passou;;
alterar modificadores de bolsas;Passou;;
excluir modificadores de bolsas;Passou;;
tela de parametros;Passou;;
tela de Tabela Percentual;Passou;;
